frame,action,room,x,y,lives,level,items,orb_count_or_score_lo,dx,dy,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90,r91,r92,r93,r94,r95,r96,r97,r98,r99,r100,r101,r102,r103,r104,r105,r106,r107,r108,r109,r110,r111,r112,r113,r114,r115,r116,r117,r118,r119,r120,r121,r122,r123,r124,r125,r126,r127
10,5,1,77,226,5,0,0,210,0,-9,78,0,4,1,0,215,131,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,116,210,124,209,124,209,0,208,21,208,101,209,108,209,3,211,93,253,77,226,14,254,240,55,0,4,4,0,40,10,0,0,0,0,5,255,0,0,9,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,0,19,0,0,9,0,9,0,185,210,0,0,0,223,0,255,255,0,5,16,3,3,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
11,5,1,77,225,5,0,0,210,0,-1,79,0,4,1,0,165,132,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,116,210,124,209,124,209,82,208,102,208,101,209,108,209,3,211,93,253,77,225,14,254,240,55,0,4,4,0,40,10,1,0,0,0,5,255,0,0,9,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,19,0,0,2,1,9,2,185,210,0,0,0,223,0,255,255,0,5,16,2,2,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
12,5,1,77,224,5,0,0,210,0,-1,80,0,4,1,0,171,141,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,104,210,124,209,124,209,62,208,102,208,100,209,107,209,2,211,152,253,77,224,14,254,240,54,0,4,4,0,40,10,1,0,0,0,5,255,0,0,10,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,18,0,0,2,1,9,2,185,210,0,0,0,223,0,255,255,0,5,16,1,1,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
13,5,1,77,223,5,0,0,210,0,-1,81,0,4,1,0,177,150,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,104,210,124,209,124,209,62,208,102,208,100,209,107,209,2,211,152,253,77,223,14,254,240,54,0,4,4,0,40,10,1,0,0,0,5,255,0,0,10,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,18,0,0,2,1,9,2,185,210,0,0,0,223,0,255,255,0,5,16,0,0,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
14,5,1,77,222,5,0,0,210,0,-1,82,0,4,1,0,151,187,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,104,210,124,209,124,209,62,208,102,208,100,209,107,209,2,211,152,253,77,222,14,254,240,54,0,4,4,0,40,10,1,0,0,0,5,255,0,0,10,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,18,0,0,2,1,9,2,185,210,0,0,0,223,0,255,255,0,6,17,2,2,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
15,5,1,77,221,5,0,0,210,0,-1,83,0,4,1,0,101,204,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,104,210,124,209,124,209,62,208,102,208,100,209,107,209,2,211,152,253,77,221,14,254,240,54,0,4,4,0,40,10,1,0,0,0,5,255,0,0,10,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,18,0,0,2,1,9,2,185,210,0,0,0,223,0,255,255,0,6,17,1,1,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
16,5,1,77,220,5,0,0,210,0,-1,84,0,4,1,0,235,84,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,104,210,124,209,124,209,82,208,102,208,100,209,107,209,2,211,152,253,77,220,14,254,240,53,0,4,4,0,40,10,1,0,0,0,5,255,0,0,10,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,18,0,0,2,1,9,2,185,210,0,0,0,223,0,255,255,0,6,17,0,0,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
17,5,1,77,219,5,0,0,210,0,-1,85,0,4,1,0,114,253,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,104,210,124,209,124,209,82,208,102,208,100,209,107,209,2,211,152,253,77,219,14,254,240,53,0,4,4,0,40,10,1,0,0,0,5,255,0,0,10,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,18,0,0,2,1,9,2,185,210,0,0,0,223,0,255,255,0,7,18,3,3,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
18,5,1,77,218,5,0,0,210,0,-1,86,0,4,1,0,218,7,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,104,210,124,209,124,209,82,208,102,208,100,209,107,209,2,211,152,253,77,218,14,254,240,53,0,4,4,0,40,10,1,0,0,0,5,255,0,0,10,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,18,0,0,2,1,9,2,185,210,0,0,0,223,0,255,255,0,7,18,2,2,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
19,5,1,77,217,5,0,0,210,0,-1,87,0,4,1,0,173,8,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,104,210,124,209,124,209,82,208,102,208,100,209,107,209,2,211,152,253,77,217,14,254,240,53,0,4,4,0,40,10,1,0,0,0,5,255,0,0,10,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,18,0,0,2,1,9,2,185,210,0,0,0,223,0,255,255,0,7,18,1,1,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
20,5,1,77,216,5,0,0,210,0,-1,88,0,4,1,0,176,25,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,92,210,124,209,124,209,62,208,102,208,101,209,108,209,1,211,93,253,77,216,14,254,240,52,0,4,4,0,40,10,1,0,0,0,5,255,0,0,11,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,18,0,0,2,1,9,2,185,210,0,0,0,223,0,255,255,0,7,18,0,0,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
21,5,1,77,215,5,0,0,210,0,-1,89,0,4,1,0,147,42,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,92,210,124,209,124,209,62,208,102,208,101,209,108,209,1,211,93,253,77,215,14,254,240,52,0,4,4,0,40,10,1,0,0,0,5,255,0,0,11,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,18,0,0,2,1,9,2,185,210,0,0,0,223,0,255,255,0,8,19,2,2,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
22,5,1,77,214,5,0,0,210,0,-1,90,0,4,1,0,122,127,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,92,210,124,209,124,209,62,208,102,208,101,209,108,209,1,211,93,253,77,214,14,254,240,52,0,4,4,0,40,10,1,0,0,0,5,255,0,0,11,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,18,0,0,2,1,9,2,185,210,0,0,0,223,0,255,255,0,8,19,1,1,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
23,5,1,77,213,5,0,0,210,0,-1,91,0,4,1,0,205,129,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,92,210,124,209,124,209,62,208,102,208,101,209,108,209,1,211,93,253,77,213,14,254,240,52,0,4,4,0,40,10,1,0,0,0,5,255,0,0,11,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,18,0,0,2,1,9,2,185,210,0,0,0,223,0,255,255,0,8,19,0,0,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
24,5,1,77,212,5,0,0,210,0,-1,92,0,4,1,0,147,130,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,92,210,124,209,124,209,82,208,102,208,101,209,108,209,1,211,93,253,77,212,14,254,240,51,0,4,4,0,40,10,1,0,0,0,5,255,0,0,11,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,18,0,0,2,1,9,2,185,210,0,0,0,223,0,255,255,0,9,20,12,12,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
25,5,1,77,211,5,0,0,210,0,-1,93,0,4,1,0,121,135,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,92,210,124,209,124,209,82,208,102,208,101,209,108,209,1,211,93,253,77,211,14,254,240,51,0,4,4,0,40,10,1,0,0,0,5,255,0,0,11,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,18,0,0,2,1,9,2,185,210,0,0,0,223,0,255,255,0,9,20,11,11,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
26,5,1,77,210,5,0,0,210,0,-1,94,0,4,1,0,207,137,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,92,210,124,209,124,209,82,208,102,208,101,209,108,209,1,211,93,253,77,210,14,254,240,51,0,4,4,0,40,10,1,0,0,0,5,255,0,0,11,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,18,0,0,2,1,9,2,185,210,0,0,0,223,0,255,255,0,9,20,10,10,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
27,5,1,77,209,5,0,0,210,0,-1,95,0,4,1,0,173,154,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,92,210,124,209,124,209,82,208,102,208,101,209,108,209,1,211,93,253,77,209,14,254,240,51,0,4,4,0,40,10,1,0,0,0,5,255,0,0,11,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,18,0,0,2,1,9,2,185,210,0,0,0,223,0,255,255,0,9,20,9,9,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
28,2,1,77,210,5,0,0,210,0,1,96,0,4,1,0,179,175,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,80,210,124,209,124,209,62,208,102,208,100,209,107,209,4,211,152,253,77,210,14,254,240,50,0,4,4,0,24,10,1,0,0,0,5,255,0,0,12,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,18,0,0,2,1,9,2,185,210,0,0,0,239,0,255,255,0,9,20,8,8,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
29,2,1,77,211,5,0,0,210,0,1,97,0,4,1,0,153,240,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,80,210,124,209,124,209,62,208,102,208,100,209,107,209,4,211,152,253,77,211,14,254,240,50,0,4,4,0,24,10,1,0,0,0,5,255,0,0,12,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,18,0,0,2,1,9,2,185,210,0,0,0,239,0,255,255,0,9,20,7,7,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
30,2,1,77,212,5,0,0,210,0,1,98,0,4,1,0,111,17,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,80,210,124,209,124,209,62,208,102,208,100,209,107,209,4,211,152,253,77,212,14,254,240,50,0,4,4,0,24,10,1,0,0,0,5,255,0,0,12,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,18,0,0,2,1,9,2,185,210,0,0,0,239,0,255,255,0,9,20,6,6,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
31,2,1,77,213,5,0,0,210,0,1,99,0,4,1,0,206,51,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,80,210,124,209,124,209,62,208,102,208,100,209,107,209,4,211,152,253,77,213,14,254,240,50,0,4,4,0,24,10,1,0,0,0,5,255,0,0,12,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,18,0,0,2,1,9,2,185,210,0,0,0,239,0,255,255,0,9,20,5,5,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
32,2,1,77,214,5,0,0,210,0,1,100,0,4,1,0,145,84,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,80,210,124,209,124,209,82,208,102,208,100,209,107,209,4,211,152,253,77,214,14,254,240,49,0,4,4,0,24,10,1,0,0,0,5,255,0,0,12,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,18,0,0,2,1,9,2,185,210,0,0,0,239,0,255,255,0,9,20,4,4,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
33,2,1,77,215,5,0,0,210,0,1,101,0,4,1,0,116,253,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,80,210,124,209,124,209,82,208,102,208,100,209,107,209,4,211,152,253,77,215,14,254,240,49,0,4,4,0,24,10,1,0,0,0,5,255,0,0,12,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,18,0,0,2,1,9,2,185,210,0,0,0,239,0,255,255,0,9,20,3,3,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
34,2,1,77,216,5,0,0,210,0,1,102,0,4,1,0,216,7,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,80,210,124,209,124,209,82,208,102,208,100,209,107,209,4,211,152,253,77,216,14,254,240,49,0,4,4,0,24,10,1,0,0,0,5,255,0,0,12,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,18,0,0,2,1,9,2,185,210,0,0,0,239,0,255,255,0,9,20,2,2,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
35,2,1,77,217,5,0,0,210,0,1,103,0,4,1,0,171,8,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,80,210,124,209,124,209,82,208,102,208,100,209,107,209,4,211,152,253,77,217,14,254,240,49,0,4,4,0,24,10,1,0,0,0,5,255,0,0,12,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,18,0,0,2,1,9,2,185,210,0,0,0,239,0,255,255,0,9,20,1,1,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
36,2,1,77,218,5,0,0,210,0,1,104,0,4,1,0,178,25,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,68,210,124,209,124,209,62,208,102,208,101,209,108,209,3,211,93,253,77,218,14,254,240,48,0,4,4,0,24,10,1,0,0,0,5,255,0,0,13,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,18,0,0,2,1,9,2,185,210,0,0,0,239,0,255,255,0,9,20,0,0,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
37,2,1,77,219,5,0,0,210,0,1,105,0,4,1,0,149,42,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,68,210,124,209,124,209,62,208,102,208,101,209,108,209,3,211,93,253,77,219,14,254,240,48,0,4,4,0,24,10,1,0,0,0,5,255,0,0,13,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,18,0,0,2,1,9,2,185,210,0,0,0,239,0,255,255,0,10,21,2,2,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
38,2,1,77,220,5,0,0,210,0,1,106,0,4,1,0,120,127,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,68,210,124,209,124,209,62,208,102,208,101,209,108,209,3,211,93,253,77,220,14,254,240,48,0,4,4,0,24,10,1,0,0,0,5,255,0,0,13,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,18,0,0,2,1,9,2,185,210,0,0,0,239,0,255,255,0,10,21,1,1,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
39,2,1,77,221,5,0,0,210,0,1,107,0,4,1,0,203,129,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,68,210,124,209,124,209,62,208,102,208,101,209,108,209,3,211,93,253,77,221,14,254,240,48,0,4,4,0,24,10,1,0,0,0,5,255,0,0,13,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,18,0,0,2,1,9,2,185,210,0,0,0,239,0,255,255,0,10,21,0,0,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
40,2,1,77,222,5,0,0,210,0,1,108,0,4,1,0,145,130,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,68,210,124,209,124,209,82,208,102,208,101,209,108,209,3,211,93,253,77,222,14,254,240,47,0,4,4,0,24,10,1,0,0,0,5,255,0,0,13,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,18,0,0,2,1,9,2,185,210,0,0,0,239,0,255,255,0,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
41,2,1,77,223,5,0,0,210,0,1,109,0,4,1,0,119,135,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,68,210,124,209,124,209,82,208,102,208,101,209,108,209,3,211,93,253,77,223,14,254,240,47,0,4,4,0,24,10,1,0,0,0,5,255,0,0,13,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,18,0,0,2,1,9,2,185,210,0,0,0,239,0,255,255,0,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
42,2,1,77,224,5,0,0,210,0,1,110,0,4,1,0,197,137,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,68,210,124,209,124,209,82,208,102,208,101,209,108,209,3,211,93,253,77,224,14,254,240,47,0,4,4,0,24,10,1,0,0,0,5,255,0,0,13,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,18,0,0,2,1,9,2,185,210,0,0,0,239,0,255,255,0,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
43,2,1,77,225,5,0,0,210,0,1,111,0,4,1,0,139,154,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,68,210,124,209,124,209,82,208,102,208,101,209,108,209,3,211,93,253,77,225,14,254,240,47,0,4,4,0,24,10,1,0,0,0,5,255,0,0,13,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,18,0,0,2,1,9,2,185,210,0,0,0,239,0,255,255,0,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
44,2,1,77,226,5,0,0,210,0,1,112,0,4,1,0,81,175,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,56,210,124,209,124,209,62,208,102,208,100,209,107,209,2,211,152,253,77,226,14,254,240,46,0,4,4,0,24,10,1,0,0,0,5,255,0,0,14,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,18,0,0,2,1,9,2,185,210,0,0,0,239,0,255,255,0,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
45,2,1,77,227,5,0,0,210,0,1,113,0,4,1,0,55,241,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,56,210,124,209,124,209,62,208,102,208,100,209,107,209,2,211,152,253,77,227,14,254,240,46,0,4,4,0,24,10,1,0,0,0,5,255,0,0,14,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,18,0,0,2,1,9,2,185,210,0,0,0,239,0,255,255,0,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
46,2,1,77,228,5,0,0,210,0,1,114,0,4,1,0,5,19,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,56,210,124,209,124,209,62,208,102,208,100,209,107,209,2,211,152,253,77,228,14,254,240,46,0,4,4,0,24,10,1,0,0,0,5,255,0,0,14,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,18,0,0,2,1,9,2,185,210,0,0,0,239,0,255,255,0,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
