frame,action,room,x,y,lives,level,items,orb_count_or_score_lo,dx,dy,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90,r91,r92,r93,r94,r95,r96,r97,r98,r99,r100,r101,r102,r103,r104,r105,r106,r107,r108,r109,r110,r111,r112,r113,r114,r115,r116,r117,r118,r119,r120,r121,r122,r123,r124,r125,r126,r127
10,0,1,77,235,5,0,0,210,0,0,78,0,4,1,0,215,131,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,116,210,124,209,124,209,0,208,21,208,101,209,108,209,3,211,93,253,77,235,14,254,240,55,0,4,4,0,8,8,0,0,0,0,5,255,0,0,9,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,19,0,0,0,0,0,0,185,210,0,0,0,255,0,255,255,0,5,16,3,3,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
11,0,1,77,235,5,0,0,210,0,0,79,0,4,1,0,165,132,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,116,210,124,209,124,209,0,208,21,208,101,209,108,209,3,211,93,253,77,235,14,254,240,55,0,4,4,0,8,8,0,0,0,0,5,255,0,0,9,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,19,0,0,0,0,0,0,185,210,0,0,0,255,0,255,255,0,5,16,2,2,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
12,0,1,77,235,5,0,0,210,0,0,80,0,4,1,0,171,141,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,104,210,124,209,124,209,0,208,21,208,100,209,107,209,2,211,152,253,77,235,14,254,240,54,0,4,4,0,8,8,0,0,0,0,5,255,0,0,10,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,19,0,0,0,0,0,0,185,210,0,0,0,255,0,255,255,0,5,16,1,1,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
13,0,1,77,235,5,0,0,210,0,0,81,0,4,1,0,177,150,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,104,210,124,209,124,209,0,208,21,208,100,209,107,209,2,211,152,253,77,235,14,254,240,54,0,4,4,0,8,8,0,0,0,0,5,255,0,0,10,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,19,0,0,0,0,0,0,185,210,0,0,0,255,0,255,255,0,5,16,0,0,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
14,0,1,77,235,5,0,0,210,0,0,82,0,4,1,0,151,187,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,104,210,124,209,124,209,0,208,21,208,100,209,107,209,2,211,152,253,77,235,14,254,240,54,0,4,4,0,8,8,0,0,0,0,5,255,0,0,10,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,19,0,0,0,0,0,0,185,210,0,0,0,255,0,255,255,0,6,17,2,2,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
15,0,1,77,235,5,0,0,210,0,0,83,0,4,1,0,101,204,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,104,210,124,209,124,209,0,208,21,208,100,209,107,209,2,211,152,253,77,235,14,254,240,54,0,4,4,0,8,8,0,0,0,0,5,255,0,0,10,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,19,0,0,0,0,0,0,185,210,0,0,0,255,0,255,255,0,6,17,1,1,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
16,0,1,77,235,5,0,0,210,0,0,84,0,4,1,0,235,84,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,104,210,124,209,124,209,0,208,21,208,100,209,107,209,2,211,152,253,77,235,14,254,240,53,0,4,4,0,8,8,0,0,0,0,5,255,0,0,10,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,19,0,0,0,0,0,0,185,210,0,0,0,255,0,255,255,0,6,17,0,0,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
17,0,1,77,235,5,0,0,210,0,0,85,0,4,1,0,114,253,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,104,210,124,209,124,209,0,208,21,208,100,209,107,209,2,211,152,253,77,235,14,254,240,53,0,4,4,0,8,8,0,0,0,0,5,255,0,0,10,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,19,0,0,0,0,0,0,185,210,0,0,0,255,0,255,255,0,7,18,3,3,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
18,0,1,77,235,5,0,0,210,0,0,86,0,4,1,0,218,7,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,104,210,124,209,124,209,0,208,21,208,100,209,107,209,2,211,152,253,77,235,14,254,240,53,0,4,4,0,8,8,0,0,0,0,5,255,0,0,10,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,19,0,0,0,0,0,0,185,210,0,0,0,255,0,255,255,0,7,18,2,2,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
19,0,1,77,235,5,0,0,210,0,0,87,0,4,1,0,173,8,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,104,210,124,209,124,209,0,208,21,208,100,209,107,209,2,211,152,253,77,235,14,254,240,53,0,4,4,0,8,8,0,0,0,0,5,255,0,0,10,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,1,19,0,0,0,0,0,0,185,210,0,0,0,255,0,255,255,0,7,18,1,1,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
20,3,1,78,235,5,0,0,210,1,0,88,0,4,1,0,176,25,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,92,210,124,209,124,209,0,208,21,208,101,209,108,209,1,211,93,253,78,235,14,254,240,52,0,4,4,0,128,18,0,0,0,0,5,255,0,0,11,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,77,19,0,0,0,0,0,0,185,210,0,0,0,127,128,255,255,0,7,18,0,0,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
21,3,1,79,235,5,0,0,210,1,0,89,0,4,1,0,147,42,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,92,210,124,209,124,209,0,208,21,208,101,209,108,209,1,211,93,253,79,235,14,254,240,52,0,4,4,0,128,18,0,0,0,0,5,255,0,0,11,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,78,19,0,0,0,0,0,0,185,210,0,0,0,127,128,255,255,0,8,19,2,2,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
22,3,1,80,235,5,0,0,210,1,0,90,0,4,1,0,122,127,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,92,210,124,209,124,209,0,208,21,208,101,209,108,209,1,211,93,253,80,235,14,254,240,52,0,4,4,0,128,18,0,0,0,0,5,255,0,0,11,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,79,19,0,0,0,0,0,0,185,210,0,0,0,127,128,255,255,0,8,19,1,1,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
23,3,1,81,235,5,0,0,210,1,0,91,0,4,1,0,205,129,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,92,210,124,209,124,209,0,208,21,208,101,209,108,209,1,211,93,253,81,235,14,254,240,52,0,4,4,0,128,18,0,0,0,0,5,255,0,0,11,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,80,19,0,0,0,0,0,0,185,210,0,0,0,127,128,255,255,0,8,19,0,0,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
24,3,1,82,235,5,0,0,210,1,0,92,0,4,1,0,147,130,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,92,210,124,209,124,209,42,208,21,208,101,209,108,209,1,211,93,253,82,235,14,254,240,51,0,4,4,0,128,18,1,0,0,0,5,255,0,0,11,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,81,19,0,0,0,0,0,0,185,210,0,0,0,127,128,255,255,0,9,20,12,12,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
25,3,1,83,235,5,0,0,210,1,0,93,0,4,1,0,121,135,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,92,210,124,209,124,209,42,208,21,208,101,209,108,209,1,211,93,253,83,235,14,254,240,51,0,4,4,0,128,18,1,0,0,0,5,255,0,0,11,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,82,18,0,0,0,0,0,0,185,210,0,0,0,127,128,255,255,0,9,20,11,11,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
26,3,1,84,235,5,0,0,210,1,0,94,0,4,1,0,207,137,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,92,210,124,209,124,209,42,208,21,208,101,209,108,209,1,211,93,253,84,235,14,254,240,51,0,4,4,0,128,18,1,0,0,0,5,255,0,0,11,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,83,18,0,0,0,0,0,0,185,210,0,0,0,127,128,255,255,0,9,20,10,10,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
27,3,1,85,235,5,0,0,210,1,0,95,0,4,1,0,173,154,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,92,210,124,209,124,209,42,208,21,208,101,209,108,209,1,211,93,253,85,235,14,254,240,51,0,4,4,0,128,18,1,0,0,0,5,255,0,0,11,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,84,18,0,0,0,0,0,0,185,210,0,0,0,127,128,255,255,0,9,20,9,9,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
28,3,1,86,235,5,0,0,210,1,0,96,0,4,1,0,179,175,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,80,210,124,209,124,209,0,208,21,208,100,209,107,209,4,211,152,253,86,235,14,254,240,50,0,4,4,0,128,18,0,0,0,0,5,255,0,0,12,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,85,18,0,0,0,0,0,0,185,210,0,0,0,127,128,255,255,0,9,20,8,8,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
29,3,1,87,235,5,0,0,210,1,0,97,0,4,1,0,153,240,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,80,210,124,209,124,209,0,208,21,208,100,209,107,209,4,211,152,253,87,235,14,254,240,50,0,4,4,0,128,18,0,0,0,0,5,255,0,0,12,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,86,19,0,0,0,0,0,0,185,210,0,0,0,127,128,255,255,0,9,20,7,7,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
30,3,1,88,235,5,0,0,210,1,0,98,0,4,1,0,111,17,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,80,210,124,209,124,209,0,208,21,208,100,209,107,209,4,211,152,253,88,235,14,254,240,50,0,4,4,0,128,18,0,0,0,0,5,255,0,0,12,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,87,19,0,0,0,0,0,0,185,210,0,0,0,127,128,255,255,0,9,20,6,6,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
31,3,1,89,235,5,0,0,210,1,0,99,0,7,1,0,205,51,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,80,210,124,209,124,209,0,208,21,208,100,209,107,209,4,211,152,253,89,235,14,254,240,50,0,4,4,0,128,18,0,0,0,0,5,255,0,0,12,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,0,88,19,0,0,0,0,0,0,185,210,0,0,0,127,128,255,255,0,9,20,5,5,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,139,219
32,3,1,89,233,5,0,0,210,0,-2,100,0,7,1,0,147,84,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,80,210,124,209,124,209,42,208,21,208,100,209,107,209,4,211,152,253,89,233,14,254,240,49,0,4,4,0,128,8,1,0,0,0,5,255,0,0,12,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,1,0,19,0,0,0,0,0,0,185,210,0,0,0,127,128,255,255,0,9,20,4,4,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,124,182
33,3,1,89,231,5,0,0,210,0,-2,101,0,7,1,0,121,253,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,80,210,124,209,124,209,0,208,21,208,100,209,107,209,4,211,152,253,89,231,14,254,240,49,0,4,4,0,128,8,0,0,0,0,5,255,0,0,12,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,2,0,18,0,0,250,0,0,0,185,210,0,0,0,127,128,255,255,0,9,20,3,3,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,124,182
34,3,1,89,229,5,0,0,210,0,-2,102,0,7,1,0,206,7,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,80,210,124,209,124,209,0,208,21,208,100,209,107,209,4,211,152,253,89,229,14,254,240,49,0,4,4,0,128,8,0,0,0,0,5,255,0,0,12,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,3,0,19,0,0,0,0,0,0,185,210,0,0,0,127,128,255,255,0,9,20,2,2,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,124,182
35,3,1,89,227,5,0,0,210,0,-2,103,0,7,1,0,174,8,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,80,210,124,209,124,209,0,208,21,208,100,209,107,209,4,211,152,253,89,227,14,254,240,49,0,4,4,0,128,8,0,0,0,0,5,255,0,0,12,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,4,0,19,0,0,0,0,0,0,185,210,0,0,0,127,128,255,255,0,9,20,1,1,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,124,182
36,3,1,89,225,5,0,0,210,0,-2,104,0,7,1,0,142,25,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,68,210,124,209,124,209,0,208,21,208,101,209,108,209,3,211,93,253,89,225,14,254,240,48,0,4,4,0,128,8,0,0,0,0,5,255,0,0,13,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,5,0,19,0,0,0,0,0,0,185,210,0,0,0,127,128,255,255,0,9,20,0,0,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,124,182
37,3,1,89,223,5,0,0,210,0,-2,105,0,7,1,0,110,42,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,68,210,124,209,124,209,0,208,21,208,101,209,108,209,3,211,93,253,89,223,14,254,240,48,0,4,4,0,128,8,0,0,0,0,5,255,0,0,13,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,6,0,19,0,0,0,0,0,0,185,210,0,0,0,127,128,255,255,0,10,21,2,2,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,124,182
38,3,1,89,221,5,0,0,210,0,-2,106,0,7,1,0,206,126,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,68,210,124,209,124,209,0,208,21,208,101,209,108,209,3,211,93,253,89,221,14,254,240,48,0,4,4,0,128,8,0,0,0,0,5,255,0,0,13,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,7,0,19,0,0,0,0,0,0,185,210,0,0,0,127,128,255,255,0,10,21,1,1,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,124,182
39,3,1,89,219,5,0,0,210,0,-2,107,0,7,1,0,174,131,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,68,210,124,209,124,209,0,208,21,208,101,209,108,209,3,211,93,253,89,219,14,254,240,48,0,4,4,0,128,8,0,0,0,0,5,255,0,0,13,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,8,0,19,0,0,0,0,0,0,185,210,0,0,0,127,128,255,255,0,10,21,0,0,244,12,0,0,0,0,0,0,0,0,0,0,0,46,218,124,182
40,3,1,89,217,5,0,0,210,0,-2,108,0,7,1,0,143,132,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,68,210,124,209,124,209,0,208,21,208,101,209,108,209,3,211,93,253,89,217,14,254,240,47,0,4,4,0,128,8,0,0,0,0,5,255,0,0,13,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,9,0,19,0,0,0,0,0,0,185,210,0,0,0,127,128,255,255,0,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,218,124,182
41,3,1,89,215,5,0,0,210,0,-2,109,0,7,1,0,108,141,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,68,210,124,209,124,209,0,208,21,208,101,209,108,209,3,211,93,253,89,215,14,254,240,47,0,4,4,0,128,8,0,0,0,0,5,255,0,0,13,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,10,0,19,0,0,0,0,0,0,185,210,0,0,0,127,128,255,255,0,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,218,124,182
42,3,1,89,213,5,0,0,210,0,-2,110,0,7,1,0,241,151,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,68,210,124,209,124,209,0,208,21,208,101,209,108,209,3,211,93,253,89,213,14,254,240,47,0,4,4,0,128,8,0,0,0,0,5,255,0,0,13,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,11,0,19,0,0,0,0,0,0,185,210,0,0,0,127,128,255,255,0,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,218,124,182
43,3,1,89,211,5,0,0,210,0,-2,111,0,7,1,0,86,184,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,68,210,124,209,124,209,0,208,21,208,101,209,108,209,3,211,93,253,89,211,14,254,240,47,0,4,4,0,128,8,0,0,0,0,5,255,0,0,13,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,12,0,19,0,0,0,0,0,0,185,210,0,0,0,127,128,255,255,0,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,218,124,182
44,3,1,89,209,5,0,0,210,0,-2,112,0,7,1,0,39,200,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,56,210,124,209,124,209,0,208,21,208,100,209,107,209,2,211,152,253,89,209,14,254,240,46,0,4,4,0,128,8,0,0,0,0,5,255,0,0,14,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,13,0,19,0,0,0,0,0,0,185,210,0,0,0,127,128,255,255,0,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,218,124,182
45,3,1,89,207,5,0,0,210,0,-2,113,0,7,1,0,52,88,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,56,210,124,209,124,209,0,208,21,208,100,209,107,209,2,211,152,253,89,207,14,254,240,46,0,4,4,0,128,8,0,0,0,0,5,255,0,0,14,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,14,0,19,0,0,0,0,0,0,185,210,0,0,0,127,128,255,255,0,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,218,124,182
46,3,1,89,205,5,0,0,210,0,-2,114,0,7,1,0,24,232,117,253,117,253,117,253,117,253,117,253,117,253,0,0,0,46,253,56,210,124,209,124,209,0,208,21,208,100,209,107,209,2,211,152,253,89,205,14,254,240,46,0,4,4,0,128,8,0,0,0,0,5,255,0,0,14,0,0,0,15,31,51,31,17,21,25,1,17,12,33,145,23,3,0,182,146,0,0,0,255,0,15,0,19,0,0,0,0,0,0,185,210,0,0,0,127,128,255,255,0,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,218,124,182
