# Table 1(a): which node each array task ran on.
# Recovered from sacct -X on 2026-09-17; task index maps to the GAMES array in t1a_t3fix.sbatch.
# arm	row	job	task	game	node	submit	end
adv2	ppo_impala	44670901	0	plunder	holygpu8a17304	2026-09-05T18:03:04	2026-09-05T18:17:41
adv2	ppo_impala	44670901	1	bigfish	holygpu8a17304	2026-09-05T18:03:04	2026-09-05T18:20:15
adv2	ppo_impala	44670901	2	bossfight	holygpu8a17304	2026-09-05T18:03:04	2026-09-05T18:22:52
adv2	ppo_impala	44670901	3	ninja	holygpu8a17304	2026-09-05T18:03:04	2026-09-05T18:25:22
adv2	ppo_impala	44670901	4	starpilot	holygpu8a17304	2026-09-05T18:03:04	2026-09-05T18:27:54
adv2	ppo_impala	44670901	5	heist	holygpu8a17304	2026-09-05T18:03:04	2026-09-05T18:30:31
adv2	ppo_impala	44670901	6	leaper	holygpu8a17304	2026-09-05T18:03:04	2026-09-05T18:33:18
adv2	ppo_impala	44670901	7	maze	holygpu8a17304	2026-09-05T18:03:04	2026-09-05T18:36:04
adv2	ppo_impala	44670901	8	dodgeball	holygpu8a17304	2026-09-05T18:03:04	2026-09-05T18:38:47
adv2	ppo_impala	44670901	9	jumper	holygpu8a17304	2026-09-05T18:03:04	2026-09-05T18:41:26
adv2	ppo_impala	44670901	10	chaser	holygpu8a17304	2026-09-05T18:03:04	2026-09-05T18:44:06
adv2	ppo_impala	44670901	11	caveflyer	holygpu8a17304	2026-09-05T18:03:04	2026-09-05T18:46:46
adv2	ppo_impala	44670901	12	coinrun	holygpu8a17304	2026-09-05T18:03:04	2026-09-05T18:49:28
adv2	ppo_impala	44670901	13	fruitbot	holygpu8a17304	2026-09-05T18:03:04	2026-09-05T18:52:15
adv2	ppo_impala	44670901	14	climber	holygpu8a17304	2026-09-05T18:03:04	2026-09-05T18:54:52
adv2	ppo_impala	44670901	15	miner	holygpu8a17304	2026-09-05T18:03:04	2026-09-05T18:57:39
adv2	ppo_impala	44670901	16	pong	holygpu8a17304	2026-09-05T18:03:04	2026-09-05T19:00:10
adv2	ppo_impala	44670901	17	freeway	holygpu8a17304	2026-09-05T18:03:04	2026-09-05T19:02:40
adv2	ppo_impala	44670901	18	seaquest	holygpu8a17304	2026-09-05T18:03:04	2026-09-05T19:05:17
adv2	ppo_impala	44670901	19	space_invaders	holygpu8a17304	2026-09-05T18:03:04	2026-09-05T19:07:47
adv2	ppo_impala	44670901	20	asteroids	holygpu8a17304	2026-09-05T18:03:04	2026-09-05T19:10:18
adv2	ppo_impala	44670901	21	frostbite	holygpu8a17304	2026-09-05T18:03:04	2026-09-05T19:12:47
adv2	ppo_impala	44670901	22	breakout	holygpu8a17304	2026-09-05T18:03:04	2026-09-05T19:15:20
adv2	ppo_impala	44670901	23	qbert	holygpu8a17304	2026-09-05T18:03:04	2026-09-05T19:18:02
adv2	ppo_nature	44670900	0	plunder	holygpu8a17304	2026-09-05T18:03:04	2026-09-05T18:04:34
adv2	ppo_nature	44670900	1	bigfish	holygpu8a17304	2026-09-05T18:03:04	2026-09-05T18:05:50
adv2	ppo_nature	44670900	2	bossfight	holygpu8a17304	2026-09-05T18:03:04	2026-09-05T18:07:06
adv2	ppo_nature	44670900	3	ninja	holygpu8a17304	2026-09-05T18:03:04	2026-09-05T18:08:20
adv2	ppo_nature	44670900	4	starpilot	holygpu8a17304	2026-09-05T18:03:04	2026-09-05T18:09:35
adv2	ppo_nature	44670900	5	heist	holygpu8a17304	2026-09-05T18:03:04	2026-09-05T18:10:49
adv2	ppo_nature	44670900	6	leaper	holygpu8a17304	2026-09-05T18:03:04	2026-09-05T18:12:18
adv2	ppo_nature	44670900	7	maze	holygpu8a17304	2026-09-05T18:03:04	2026-09-05T18:13:42
adv2	ppo_nature	44670900	8	dodgeball	holygpu8a17304	2026-09-05T18:03:04	2026-09-05T18:15:01
adv2	ppo_nature	44670900	9	jumper	holygpu8a17202	2026-09-05T18:03:04	2026-09-05T18:35:52
adv2	ppo_nature	44670900	10	chaser	holygpu8a17202	2026-09-05T18:03:04	2026-09-05T18:37:13
adv2	ppo_nature	44670900	11	caveflyer	holygpu8a17202	2026-09-05T18:03:04	2026-09-05T18:38:35
adv2	ppo_nature	44670900	12	coinrun	holygpu8a17202	2026-09-05T18:03:04	2026-09-05T18:39:59
adv2	ppo_nature	44670900	13	fruitbot	holygpu8a17202	2026-09-05T18:03:04	2026-09-05T18:41:34
adv2	ppo_nature	44670900	14	climber	holygpu8a17202	2026-09-05T18:03:04	2026-09-05T18:42:57
adv2	ppo_nature	44670900	15	miner	holygpu8a17202	2026-09-05T18:03:04	2026-09-05T18:44:29
adv2	ppo_nature	44670900	16	pong	holygpu8a17202	2026-09-05T18:03:04	2026-09-05T18:45:40
adv2	ppo_nature	44670900	17	freeway	holygpu8a17202	2026-09-05T18:03:04	2026-09-05T18:46:52
adv2	ppo_nature	44670900	18	seaquest	holygpu8a17202	2026-09-05T18:03:04	2026-09-05T18:48:08
adv2	ppo_nature	44670900	19	space_invaders	holygpu8a17202	2026-09-05T18:03:04	2026-09-05T18:49:22
adv2	ppo_nature	44670900	20	asteroids	holygpu8a13104	2026-09-05T18:03:04	2026-09-05T19:10:23
adv2	ppo_nature	44670900	21	frostbite	holygpu8a13104	2026-09-05T18:03:04	2026-09-05T19:11:35
adv2	ppo_nature	44670900	22	breakout	holygpu8a13104	2026-09-05T18:03:04	2026-09-05T19:12:49
adv2	ppo_nature	44670900	23	qbert	holygpu8a13104	2026-09-05T18:03:04	2026-09-05T19:14:14
t3fix	impala_icnn	44748573	0	plunder	holygpu8a15203	2026-09-06T00:11:42	2026-09-06T01:26:36
t3fix	impala_icnn	44748573	1	bigfish	holygpu8a15203	2026-09-06T00:11:42	2026-09-06T01:33:17
t3fix	impala_icnn	44748573	2	bossfight	holygpu8a17204	2026-09-06T00:11:42	2026-09-06T05:12:18
t3fix	impala_icnn	44748573	3	ninja	holygpu8a17304	2026-09-06T00:11:42	2026-09-06T05:11:31
t3fix	impala_icnn	44748573	4	starpilot	holygpu8a17304	2026-09-06T00:11:42	2026-09-06T05:16:23
t3fix	impala_icnn	44748573	5	heist	holygpu8a15102	2026-09-06T00:11:42	2026-09-06T05:18:07
t3fix	impala_icnn	44748573	6	leaper	holygpu8a17204	2026-09-06T00:11:42	2026-09-06T05:19:03
t3fix	impala_icnn	44748573	7	maze	holygpu8a15102	2026-09-06T00:11:42	2026-09-06T05:22:48
t3fix	impala_icnn	44748573	8	dodgeball	holygpu8a17204	2026-09-06T00:11:42	2026-09-06T05:24:10
t3fix	impala_icnn	44748573	9	jumper	holygpu8a17304	2026-09-06T00:11:42	2026-09-06T05:26:09
t3fix	impala_icnn	44748573	10	chaser	holygpu8a15102	2026-09-06T00:11:42	2026-09-06T05:29:24
t3fix	impala_icnn	44748573	11	caveflyer	holygpu8a15203	2026-09-06T00:11:42	2026-09-06T05:28:37
t3fix	impala_icnn	44748573	12	coinrun	holygpu8a17204	2026-09-06T00:11:42	2026-09-06T05:28:45
t3fix	impala_icnn	44748573	13	fruitbot	holygpu8a17304	2026-09-06T00:11:42	2026-09-06T05:34:29
t3fix	impala_icnn	44748573	14	climber	holygpu8a15203	2026-09-06T00:11:42	2026-09-06T05:35:27
t3fix	impala_icnn	44748573	15	miner	holygpu8a17204	2026-09-06T00:11:42	2026-09-06T05:35:19
t3fix	impala_icnn	44748573	16	pong	holygpu8a15102	2026-09-06T00:11:42	2026-09-06T05:35:59
t3fix	impala_icnn	44748573	17	freeway	holygpu8a17304	2026-09-06T00:11:42	2026-09-06T05:41:04
t3fix	impala_icnn	44748573	18	seaquest	holygpu8a15203	2026-09-06T00:11:42	2026-09-06T05:41:08
t3fix	impala_icnn	44748573	19	space_invaders	holygpu8a15102	2026-09-06T00:11:42	2026-09-06T05:41:38
t3fix	impala_icnn	44748573	20	asteroids	holygpu8a13202	2026-09-06T00:11:42	2026-09-06T05:43:29
t3fix	impala_icnn	44748573	21	frostbite	holygpu8a15203	2026-09-06T00:11:42	2026-09-06T05:46:07
t3fix	impala_icnn	44748573	22	breakout	holygpu8a17304	2026-09-06T00:11:42	2026-09-06T05:45:57
t3fix	impala_icnn	44748573	23	qbert	holygpu8a15102	2026-09-06T00:11:42	2026-09-06T05:46:36
t3fix	impala_nature	44748571	0	plunder	holygpu8a13503	2026-09-06T00:11:42	2026-09-06T01:25:30
t3fix	impala_nature	44748571	1	bigfish	holygpu8a13503	2026-09-06T00:11:42	2026-09-06T01:30:08
t3fix	impala_nature	44748571	2	bossfight	holygpu8a13503	2026-09-06T00:11:42	2026-09-06T01:34:49
t3fix	impala_nature	44748571	3	ninja	holygpu8a15101	2026-09-06T00:11:42	2026-09-06T03:32:35
t3fix	impala_nature	44748571	4	starpilot	holygpu8a15203	2026-09-06T00:11:42	2026-09-06T03:33:31
t3fix	impala_nature	44748571	5	heist	holygpu8a17204	2026-09-06T00:11:42	2026-09-06T03:32:18
t3fix	impala_nature	44748571	6	leaper	holygpu8a17301	2026-09-06T00:11:42	2026-09-06T04:06:26
t3fix	impala_nature	44748571	7	maze	holygpu8a17204	2026-09-06T00:11:42	2026-09-06T04:06:49
t3fix	impala_nature	44748571	8	dodgeball	holygpu8a17204	2026-09-06T00:11:42	2026-09-06T04:12:06
t3fix	impala_nature	44748571	9	jumper	holygpu8a15101	2026-09-06T00:11:42	2026-09-06T04:12:45
t3fix	impala_nature	44748571	10	chaser	holygpu8a15102	2026-09-06T00:11:42	2026-09-06T04:12:48
t3fix	impala_nature	44748571	11	caveflyer	holygpu8a15203	2026-09-06T00:11:42	2026-09-06T04:12:57
t3fix	impala_nature	44748571	12	coinrun	holygpu8a15102	2026-09-06T00:11:42	2026-09-06T04:17:56
t3fix	impala_nature	44748571	13	fruitbot	holygpu8a15203	2026-09-06T00:11:42	2026-09-06T04:18:11
t3fix	impala_nature	44748571	14	climber	holygpu8a15203	2026-09-06T00:11:42	2026-09-06T04:26:27
t3fix	impala_nature	44748571	15	miner	holygpu8a17204	2026-09-06T00:11:42	2026-09-06T04:26:53
t3fix	impala_nature	44748571	16	pong	holygpu8a15203	2026-09-06T00:11:42	2026-09-06T04:42:55
t3fix	impala_nature	44748571	17	freeway	holygpu8a17204	2026-09-06T00:11:42	2026-09-06T04:42:23
t3fix	impala_nature	44748571	18	seaquest	holygpu8a17204	2026-09-06T00:11:42	2026-09-06T04:47:05
t3fix	impala_nature	44748571	19	space_invaders	holygpu8a17304	2026-09-06T00:11:42	2026-09-06T04:51:21
t3fix	impala_nature	44748571	20	asteroids	holygpu8a17204	2026-09-06T00:11:42	2026-09-06T04:58:23
t3fix	impala_nature	44748571	21	frostbite	holygpu8a17304	2026-09-06T00:11:42	2026-09-06T04:58:23
t3fix	impala_nature	44748571	22	breakout	holygpu8a17204	2026-09-06T00:11:42	2026-09-06T05:05:27
t3fix	impala_nature	44748571	23	qbert	holygpu8a17304	2026-09-06T00:11:42	2026-09-06T05:05:27
t3fix	impala_nature	44784183	4	starpilot	holygpu8a15102	2026-09-06T06:27:29	2026-09-06T06:39:22
t3fix	impala_nature	44784183	11	caveflyer	holygpu8a11604	2026-09-06T06:27:29	2026-09-06T06:40:00
t3fix	impala_nature	44784183	13	fruitbot	holygpu8a13303	2026-09-06T06:27:29	2026-09-06T06:40:15
t3fix	impala_nature	44784183	14	climber	holygpu8a11503	2026-09-06T06:27:29	2026-09-06T06:40:40
t3fix	impala_nature	44784183	16	pong	holygpu8a15102	2026-09-06T06:27:29	2026-09-06T06:44:36
t3fix	ppo_impala	44748575	0	plunder	holygpu8a15102	2026-09-06T00:11:42	2026-09-06T01:29:05
t3fix	ppo_impala	44748575	1	bigfish	holygpu8a15102	2026-09-06T00:11:42	2026-09-06T01:31:39
t3fix	ppo_impala	44748575	2	bossfight	holygpu8a15102	2026-09-06T00:11:42	2026-09-06T01:34:09
t3fix	ppo_impala	44748575	3	ninja	holygpu8a17204	2026-09-06T00:11:42	2026-09-06T05:57:46
t3fix	ppo_impala	44748575	4	starpilot	holygpu8a11603	2026-09-06T00:11:42	2026-09-06T05:58:24
t3fix	ppo_impala	44748575	5	heist	holygpu8a11604	2026-09-06T00:11:42	2026-09-06T05:58:28
t3fix	ppo_impala	44748575	6	leaper	holygpu8a11501	2026-09-06T00:11:42	2026-09-06T06:03:27
t3fix	ppo_impala	44748575	7	maze	holygpu8a11503	2026-09-06T00:11:42	2026-09-06T06:03:36
t3fix	ppo_impala	44748575	8	dodgeball	holygpu8a13202	2026-09-06T00:11:42	2026-09-06T06:03:21
t3fix	ppo_impala	44748575	9	jumper	holygpu8a15102	2026-09-06T00:11:42	2026-09-06T06:03:23
t3fix	ppo_impala	44748575	10	chaser	holygpu8a11503	2026-09-06T00:11:42	2026-09-06T06:06:20
t3fix	ppo_impala	44748575	11	caveflyer	holygpu8a11501	2026-09-06T00:11:42	2026-09-06T06:06:57
t3fix	ppo_impala	44748575	12	coinrun	holygpu8a13202	2026-09-06T00:11:42	2026-09-06T06:07:01
t3fix	ppo_impala	44748575	13	fruitbot	holygpu8a11604	2026-09-06T00:11:42	2026-09-06T06:08:17
t3fix	ppo_impala	44748575	14	climber	holygpu8a17204	2026-09-06T00:11:42	2026-09-06T06:09:24
t3fix	ppo_impala	44748575	15	miner	holygpu8a15102	2026-09-06T00:11:42	2026-09-06T06:10:40
t3fix	ppo_impala	44748575	16	pong	holygpu8a15203	2026-09-06T00:11:42	2026-09-06T06:11:12
t3fix	ppo_impala	44748575	17	freeway	holygpu8a11604	2026-09-06T00:11:42	2026-09-06T06:11:04
t3fix	ppo_impala	44748575	18	seaquest	holygpu8a11604	2026-09-06T00:11:42	2026-09-06T06:13:30
t3fix	ppo_impala	44748575	19	space_invaders	holygpu8a15102	2026-09-06T00:11:42	2026-09-06T06:13:35
t3fix	ppo_impala	44748575	20	asteroids	holygpu8a17204	2026-09-06T00:11:42	2026-09-06T06:13:33
t3fix	ppo_impala	44748575	21	frostbite	holygpu8a15203	2026-09-06T00:11:42	2026-09-06T06:14:51
t3fix	ppo_impala	44748575	22	breakout	holygpu8a11503	2026-09-06T00:11:42	2026-09-06T06:16:46
t3fix	ppo_impala	44748575	23	qbert	holygpu8a15102	2026-09-06T00:11:42	2026-09-06T06:16:46
t3fix	ppo_impala	44784185	16	pong	holygpu8a13202	2026-09-06T06:27:29	2026-09-06T06:47:06
t3fix	ppo_impala	44784185	21	frostbite	holygpu8a13303	2026-09-06T06:27:29	2026-09-06T06:48:14
t3fix	ppo_nature	44748574	0	plunder	holygpu8a17204	2026-09-06T00:11:42	2026-09-06T01:25:49
t3fix	ppo_nature	44748574	1	bigfish	holygpu8a17204	2026-09-06T00:11:42	2026-09-06T01:26:59
t3fix	ppo_nature	44748574	2	bossfight	holygpu8a17204	2026-09-06T00:11:42	2026-09-06T01:28:12
t3fix	ppo_nature	44748574	3	ninja	holygpu8a17204	2026-09-06T00:11:42	2026-09-06T01:29:27
t3fix	ppo_nature	44748574	4	starpilot	holygpu8a17204	2026-09-06T00:11:42	2026-09-06T01:30:40
t3fix	ppo_nature	44748574	5	heist	holygpu8a17204	2026-09-06T00:11:42	2026-09-06T01:31:52
t3fix	ppo_nature	44748574	6	leaper	holygpu8a17204	2026-09-06T00:11:42	2026-09-06T01:33:16
t3fix	ppo_nature	44748574	7	maze	holygpu8a13202	2026-09-06T00:11:42	2026-09-06T05:45:08
t3fix	ppo_nature	44748574	8	dodgeball	holygpu8a11603	2026-09-06T00:11:42	2026-09-06T05:47:13
t3fix	ppo_nature	44748574	9	jumper	holygpu8a15203	2026-09-06T00:11:42	2026-09-06T05:48:11
t3fix	ppo_nature	44748574	10	chaser	holygpu8a17304	2026-09-06T00:11:42	2026-09-06T05:47:32
t3fix	ppo_nature	44748574	11	caveflyer	holygpu8a17204	2026-09-06T00:11:42	2026-09-06T05:49:27
t3fix	ppo_nature	44748574	12	coinrun	holygpu8a15203	2026-09-06T00:11:42	2026-09-06T05:50:39
t3fix	ppo_nature	44748574	13	fruitbot	holygpu8a17304	2026-09-06T00:11:42	2026-09-06T05:50:05
t3fix	ppo_nature	44748574	14	climber	holygpu8a15102	2026-09-06T00:11:42	2026-09-06T05:51:16
t3fix	ppo_nature	44748574	15	miner	holygpu8a17304	2026-09-06T00:11:42	2026-09-06T05:51:51
t3fix	ppo_nature	44748574	16	pong	holygpu8a15203	2026-09-06T00:11:42	2026-09-06T05:52:48
t3fix	ppo_nature	44748574	17	freeway	holygpu8a17204	2026-09-06T00:11:42	2026-09-06T05:53:28
t3fix	ppo_nature	44748574	18	seaquest	holygpu8a17304	2026-09-06T00:11:42	2026-09-06T05:53:29
t3fix	ppo_nature	44748574	19	space_invaders	holygpu8a15102	2026-09-06T00:11:42	2026-09-06T05:54:10
t3fix	ppo_nature	44748574	20	asteroids	holygpu8a15203	2026-09-06T00:11:42	2026-09-06T05:54:45
t3fix	ppo_nature	44748574	21	frostbite	holygpu8a11603	2026-09-06T00:11:42	2026-09-06T05:54:45
t3fix	ppo_nature	44748574	22	breakout	holygpu8a11604	2026-09-06T00:11:42	2026-09-06T05:54:50
t3fix	ppo_nature	44748574	23	qbert	holygpu8a15203	2026-09-06T00:11:42	2026-09-06T05:57:16
t3fix	ppo_nature	44784184	9	jumper	holygpu8a13303	2026-09-06T06:27:29	2026-09-06T06:42:23
t3fix	ppo_nature	44784184	12	coinrun	holygpu8a15401	2026-09-06T06:27:29	2026-09-06T06:43:19
t3fix	ppo_nature	44784184	16	pong	holygpu8a13202	2026-09-06T06:27:29	2026-09-06T06:43:31
t3fix	ppo_nature	44784184	20	asteroids	holygpu8a13303	2026-09-06T06:27:29	2026-09-06T06:44:38
t3fix	ppo_nature	44784184	23	qbert	holygpu8a15401	2026-09-06T06:27:29	2026-09-06T06:44:45
# Table 1(b): one job per suite, all games inside it, so no per-game node spread.
t3fix	tab1b_procgen	44516162	-	all 16	holygpu8a15502	2026-09-04T23:43:53	2026-09-05T06:14:48
t3fix	tab1b_ale	44516167	-	all 8	holygpu8a17603	2026-09-04T23:43:54	2026-09-05T02:59:31
t3fix	impala_icnn	47057946	0	plunder	holygpu8a15401	2026-09-18T16:06:21	2026-09-18T16:13:11
t3fix	impala_icnn	47057946	1	bigfish	holygpu8a17304	2026-09-18T16:06:21	2026-09-18T16:14:09
t3fix	impala_icnn	47057946	11	caveflyer	holygpu8a15401	2026-09-18T16:06:21	2026-09-18T16:17:53
t3fix	impala_icnn	47057946	14	climber	holygpu8a17304	2026-09-18T16:06:21	2026-09-18T16:18:48
t3fix	impala_icnn	47057946	18	seaquest	holygpu8a15401	2026-09-18T16:06:21	2026-09-18T16:22:32
t3fix	impala_icnn	47057946	21	frostbite	holygpu8a17304	2026-09-18T16:06:21	2026-09-18T16:23:35
